Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,9,5,1606,1505,1708,1608,PS,1453,NA,62,63,NA,60,61,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1635,1635,1737,1732,PS,1454,NA,62,57,NA,5,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1834,1830,1944,1929,PS,1460,NA,70,59,NA,15,4,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1210,1210,1328,1322,PS,1478,NA,78,72,NA,6,0,OAK,SAN,446,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,2002,1950,2128,2112,PS,1484,NA,86,82,NA,16,12,SFO,SAN,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,816,815,934,928,PS,1489,NA,78,73,NA,6,1,SNA,OAK,371,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1129,1129,1235,1225,PS,1490,NA,66,56,NA,10,0,SNA,LAS,226,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,800,800,858,858,PS,1492,NA,58,58,NA,0,0,SNA,LAS,226,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,2036,1925,2151,2038,PS,1497,NA,75,73,NA,73,71,SNA,OAK,371,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1251,1250,1343,1340,PS,1509,NA,52,50,NA,3,1,LAS,SNA,226,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1430,1430,1543,1533,PS,1510,NA,73,63,NA,10,0,SFO,BUR,326,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1912,1855,2016,1957,PS,1514,NA,64,62,NA,19,17,SJC,LAX,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,711,700,815,807,PS,1517,NA,64,67,NA,8,11,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1833,1755,1942,1857,PS,1518,NA,69,62,NA,45,38,SJC,LAX,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
